"","country","District","year","n","x","Locus","min_year","nobs","adj_year","prev","wt_med","lrsmed","predict_stan","predict_stan_prev"
"1","Cambodia","Ratanakiri",2010,50,1,"PfK13",2010,8,0,2,0.98,-3.89182029811063,-3.93579798605268,1.91559897971806
"2","Cambodia","Ratanakiri",2011,78,4,"PfK13",2010,8,1,5.13,3.7948717948718,-2.91777073208428,-3.16394198999619,4.05454262231871
"3","Cambodia","Ratanakiri",2012,27,2,"PfK13",2010,8,2,7.41,1.85185185185185,-2.52572864430826,-2.36037672414266,8.62445015992028
"4","Cambodia","Ratanakiri",2013,13,1,"PfK13",2010,8,3,7.69,0.923076923076923,-2.484906649788,-1.56413786099234,17.3053692482924
"5","Cambodia","Ratanakiri",2014,26,3,"PfK13",2010,8,4,11.54,2.65384615384615,-2.03688192726104,-0.781344434954841,31.4030201906643
"6","Cambodia","Ratanakiri",2016,80,60,"PfK13",2010,8,6,75,15,1.09861228866811,0.822859023446967,69.484289418272
"7","Cambodia","Ratanakiri",2017,73,62,"PfK13",2010,8,7,84.93,9.34246575342466,1.72923911224672,1.58953286297764,83.0550370009632
"8","Cambodia","Ratanakiri",2018,5,3,"PfK13",2010,8,8,60,1.2,0.405465108108164,2.36508581183382,91.4125882245977
