District,country,year,min_year,Locus,fixation,med,med_year,min_fixyear,max_fixyear
Ratanakiri,Cambodia,2021,2010,C580Y,11,6,2017,2016,2021
Tak,Thailand,2016,2011,C580Y,5,6,2017,2016,2021
Ratanakiri,Cambodia,2022,2010,K13,12,8,2019,2019,2022
Preah Vihear,Cambodia,2017,2011,C580Y,6,6,2017,2016,2021
Tak,Thailand,2016,2011,C580Y,5,6,2017,2016,2021
Preah Vihear,Cambodia,2019,2011,K13,8,8,2019,2019,2022
Preah Vihear,Cambodia,2017,2011,C580Y,6,6,2017,2016,2021
Preah Vihear,Cambodia,2019,2011,K13,8,8,2019,2019,2022
